PDB ID,UniProt Accession,EC ID,Enzyme Name
3cf4,Q46G04,1.2.7.4,anaerobic carbon-monoxide dehydrogenase
4udx,Q9F8A8,1.2.7.4,anaerobic carbon-monoxide dehydrogenase
1oao,P27989,1.2.7.4,anaerobic carbon-monoxide dehydrogenase
1aor,Q51739,1.2.7.5,aldehyde ferredoxin oxidoreductase
5exe,Q2RI41,1.2.7.10,oxalate oxidoreductase
5exe,Q2RI42,1.2.7.10,oxalate oxidoreductase
5exe,Q2RI40,1.2.7.10,oxalate oxidoreductase
5t5i,O74031,1.2.7.12,formylmethanofuran dehydrogenase
1kol,P46154,1.2.98.1,formaldehyde dismutase
5g5g,P77165,1.2.99.6,carboxylate reductase
5g5g,P77324,1.2.99.6,carboxylate reductase
5g5g,P77489,1.2.99.6,carboxylate reductase
4usa,Q46509,1.2.99.7,aldehyde dehydrogenase (FAD-independent)
1gte,Q28943,1.3.1.2,dihydropyrimidine dehydrogenase (NADP(+))
5ycx,Q81GI3,1.3.1.9,enoyl-[acyl-carrier-protein] reductase (NADH)
3s8m,Q2P9J6,1.3.1.9,enoyl-[acyl-carrier-protein] reductase (NADH)
2uv8,P07149,1.3.1.9,enoyl-[acyl-carrier-protein] reductase (NADH)
5g0t,P9WGR1,1.3.1.9,enoyl-[acyl-carrier-protein] reductase (NADH)
2pv7,P43902,1.3.1.12,prephenate dehydrogenase
1ep3,P54322,1.3.1.14,dihydroorotate dehydrogenase (NAD(+))
3ohs,Q9TQS6,1.3.1.20,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
1lc0,P46844,1.3.1.24,biliverdin reductase
1hdo,P30043,1.3.1.24,biliverdin reductase
2fwm,P15047,1.3.1.28,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
3w5s,A1IIX4,1.3.1.32,maleylacetate reductase
1ps9,P42593,1.3.1.34,"2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]"
1yxm,Q9BY49,1.3.1.38,trans-2-enoyl-CoA reductase (NADPH)
6nna,P49327,1.3.1.39,"enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific)"
2png,P12785,1.3.1.39,"enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific)"
3s8m,Q2P9J6,1.3.1.44,trans-2-enoyl-CoA reductase (NAD(+))
2gas,P52575,1.3.1.45,2'-hydroxyisoflavone reductase
1v3v,Q9EQZ5,1.3.1.48,15-oxoprostaglandin 13-reductase
2zb4,Q8N8N7,1.3.1.48,15-oxoprostaglandin 13-reductase
2c0c,Q8N4Q0,1.3.1.48,15-oxoprostaglandin 13-reductase
2dig,Q14739,1.3.1.70,Delta(14)-sterol reductase
1v3v,Q9EQZ5,1.3.1.74,2-alkenal reductase [NAD(P)(+)]
1pjq,P25924,1.3.1.76,precorrin-2 dehydrogenase
1kyq,P15807,1.3.1.76,precorrin-2 dehydrogenase
3dfz,P61818,1.3.1.76,precorrin-2 dehydrogenase
5gxe,Q5LS56,1.3.1.84,acrylyl-CoA reductase (NADPH)
4wft,Q9NX74,1.3.1.91,tRNA-dihydrouridine(20) synthase [NAD(P)(+)]
3b0p,Q5SMC7,1.3.1.91,tRNA-dihydrouridine(20) synthase [NAD(P)(+)]
5dxx,C5H429,1.3.1.92,artemisinic aldehyde Delta(11(13)) reductase
2dzj,Q9NZ01,1.3.1.93,very-long-chain enoyl-CoA reductase
4pyt,Q65JX9,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
1uxy,P08373,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
5jzx,P9WJL9,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
4jb1,Q9HZM7,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
1hsk,P61431,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
2gqt,Q5SJC8,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
3i99,Q9KV40,1.3.1.98,UDP-N-acetylmuramate dehydrogenase
3oz2,Q9HKS9,1.3.1.101,"2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase [NAD(P)H]"
1wly,Q59I44,1.3.1.103,2-haloacrylate reductase
1n9g,Q8WZM3,1.3.1.104,enoyl-[acyl-carrier-protein] reductase
1n9g,Q8WZM4,1.3.1.104,enoyl-[acyl-carrier-protein] reductase
3oid,P71079,1.3.1.104,enoyl-[acyl-carrier-protein] reductase
1zsy,Q9BV79,1.3.1.104,enoyl-[acyl-carrier-protein] reductase
4idc,O23939,1.3.1.105,2-methylene-furan-3-one reductase
6fah,H6LGM6,1.3.1.108,caffeoyl-CoA reductase
6fah,H6LGM7,1.3.1.108,caffeoyl-CoA reductase
6fah,H6LGM8,1.3.1.108,caffeoyl-CoA reductase
5dcy,K7WDL7,1.3.1.122,(S)-8-oxocitronellyl enol synthase
4fc7,Q9NUI1,1.3.1.124,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"
1vju,P84155,1.3.3.3,coproporphyrinogen oxidase
1txn,P11353,1.3.3.3,coproporphyrinogen oxidase
2ivd,P56601,1.3.3.4,protoporphyrinogen oxidase
1sez,O24164,1.3.3.4,protoporphyrinogen oxidase
3nks,P50336,1.3.3.4,protoporphyrinogen oxidase
